prix_ttc_eur,energie,boite_de_vitesses,couleur,type_vehicule,provenance,premiere_main,kilometrage,puissance_fiscale,puissance_reelle,portes,places,longueur,largeur,hauteur,poids,volume_coffre,air_quality_icon,ville,age_ans,marque,modele
13499,diesel,manuelle,gris,utilitaire,particulier,non,87652.0,5.0,100.0,5,5,4.05,"1,798 m","1,44 m",,,crit'air niveau 2,créteil,3.162217659137577,1.5,blue
14480,gpl,manuelle,blanc,suv,particulier,non,77221.0,5.0,101.0,5,5,4.341,"1,804 m",,1289.0,1478.0,crit'air niveau 1,vesoul,4.123203285420945,1.0,eco-g
17299,essence,manuelle,gris,suv,société,oui,16035.0,5.0,91.0,5,5,4.227,"1,797 m","1,576 m",1107.0,536.0,crit'air niveau 1,villemomble,3.838466803559206,1.0,tce
12980,essence,manuelle,blanc,berline,loueur,oui,6362.0,4.0,83.0,5,5,3.996,"1,749 m","1,474 m",980.0,300.0,crit'air niveau 1,charleville-mézières,2.565366187542779,1.2,puretech
9489,essence,manuelle,noir,berline,particulier,non,81976.0,5.0,110.0,5,5,3.973,"1,829 m","1,46 m",1070.0,285.0,crit'air niveau 1,dizy,8.451745379876797,1.2,puretech
23499,essence,manuelle,bi-ton,suv,loueur,non,3816.0,5.0,91.0,5,5,4.239,"1,797 m","1,575 m",1143.0,536.0,crit'air niveau 1,arras,0.7364818617385352,1.0,tce
17999,essence,manuelle,gris,suv,,non,12310.0,5.0,91.0,5,5,4.227,"1,797 m","1,576 m",1107.0,536.0,crit'air niveau 1,saint-maximin,1.842573579739904,1.0,tce
15999,essence,manuelle,jaune,berline,loueur,non,6087.0,5.0,102.0,5,5,4.055,"1,765 m","1,43 m",1090.0,352.0,crit'air niveau 1,saint-maximin,1.4729637234770705,1.2,puretech
15279,diesel,manuelle,bi-ton,berline,loueur,non,31402.0,5.0,102.0,5,5,3.996,"1,749 m","1,474 m",1090.0,300.0,crit'air niveau 2,eybens,3.3374401095140316,1.5,bluehdi
16499,essence micro hybride,manuelle,bi-ton,suv,loueur,non,36156.0,7.0,140.0,5,5,4.227,"1,797 m","1,576 m",1172.0,536.0,,mexy,3.4962354551676933,1.3,tce
34999,essence micro hybride,automatique,blanc,suv,,oui,100.0,7.0,136.0,5,5,4.542,"1,934 m","1,641 m",1573.0,520.0,,saint-cyr-sur-loire,0.08213552361396304,1.2,hybrid
18999,gpl,manuelle,vert,suv,particulier,oui,29490.0,5.0,101.0,5,5,4.341,"1,804 m",,1230.0,478.0,crit'air niveau 1,châlons-en-champagne,2.702258726899384,1.0,eco-g
16299,essence,manuelle,,berline,loueur,non,15144.0,5.0,91.0,5,5,4.053,"1,798 m","1,44 m",1007.0,391.0,crit'air niveau 1,vitrolles,0.9007529089664613,1.0,tce
12999,gpl,manuelle,gris,berline,particulier,non,30702.0,5.0,101.0,5,5,4.099,"1,848 m","1,535 m",1079.0,328.0,crit'air niveau 1,dunkerque,3.1074606433949348,1.0,eco-g
10708,essence,manuelle,bi-ton,berline,particulier,oui,29627.0,4.0,83.0,5,5,3.996,"1,749 m","1,474 m",980.0,300.0,crit'air niveau 1,albertville,3.3347022587268995,1.2,puretech
37999,essence micro hybride,automatique,gris,suv,société,oui,2586.0,7.0,136.0,5,5,4.542,"1,934 m","1,641 m",1573.0,520.0,,niort,0.5174537987679672,1.2,hybrid
12299,essence,manuelle,gris,berline,société,oui,48621.0,4.0,75.0,5,5,4.055,"1,745 m","1,43 m",980.0,265.0,crit'air niveau 1,niort,2.6694045174537986,1.2,puretech
21799,essence micro hybride,automatique,rouge,suv,particulier,non,24380.0,6.0,125.0,5,5,4.186,"1,805 m","1,537 m",1259.0,456.0,,sequedin,2.088980150581793,1.0,ecoboost
26900,essence,automatique,noir,berline,loueur,oui,35358.0,7.0,136.0,5,5,4.023,"1,727 m","1,425 m",1230.0,278.0,crit'air niveau 1,salon-de-provence,3.1047227926078027,cooper,136ch
15799,essence,manuelle,gris,berline,loueur,non,21726.0,5.0,91.0,5,5,4.05,"1,798 m","1,44 m",1007.0,391.0,crit'air niveau 1,sains-en-gohelle,2.0752908966461328,1.0,tce
20299,essence micro hybride,automatique,bi-ton,suv,loueur,non,25120.0,7.0,140.0,5,5,4.227,"1,797 m","1,576 m",1267.0,536.0,,metz,4.082135523613963,1.3,tce
23999,hybride,automatique,noir,berline,particulier,oui,5785.0,5.0,91.0,5,5,4.053,"1,798 m","1,44 m",1163.0,301.0,crit'air niveau 1,châlons-en-champagne,0.5749486652977412,1.6,e-tech
24299,essence,manuelle,bleu,suv,société,oui,10.0,5.0,102.0,5,5,4.304,"1,815 m","1,55 m",1188.0,434.0,crit'air niveau 1,aix-en-provence,0.1697467488021903,1.2,100ch
14980,electrique,automatique,gris,berline,particulier,non,33124.0,4.0,109.0,5,5,4.087,"1,787 m","1,562 m",1427.0,338.0,crit'air niveau 0,romans-sur-isère,3.7727583846680357,e-tech,limited
22499,essence micro hybride,automatique,noir,suv,société,non,23062.0,7.0,140.0,5,5,4.568,"1,82 m","1,571 m",1261.0,513.0,,créteil,1.4948665297741273,1.3,tce
30699,hybride,automatique,blanc,suv,société,non,53805.0,11.0,200.0,5,5,4.447,"1,841 m","1,624 m",1853.0,395.0,crit'air niveau 1,saint-maximin,3.915126625598905,hybrid4,300ch
22499,hybride,automatique,bi-ton,suv,loueur,non,36387.0,5.0,91.0,5,5,4.227,"1,797 m","1,576 m",1386.0,440.0,crit'air niveau 1,arras,1.6317590691307324,1.6,e-tech
13299,gpl,manuelle,orange,berline,particulier,oui,74553.0,5.0,101.0,5,0,4.099,"1,848 m","1,535 m",1154.0,328.0,crit'air niveau 1,wormhout,4.520191649555099,1.0,eco-g
14299,essence,manuelle,blanc,berline,particulier,non,41426.0,5.0,102.0,5,5,4.055,"1,745 m","1,43 m",1090.0,265.0,crit'air niveau 1,saint-maximin,3.3347022587268995,1.2,puretech
25580,essence micro hybride,manuelle,vert,suv,société,non,8796.0,7.0,131.0,5,5,4.343,"1,921 m","1,616 m",1229.0,594.0,,salaise sur sanne,1.0924024640657084,1.2,mild
12799,essence,manuelle,gris,berline,particulier,oui,13034.0,4.0,75.0,5,5,4.055,"1,745 m","1,43 m",980.0,265.0,crit'air niveau 1,châtellerault,2.9322381930184807,1.2,puretech
18999,electrique,automatique,orange,suv,loueur,oui,53215.0,4.0,136.0,5,5,4.3,"1,77 m","1,55 m",1548.0,405.0,crit'air niveau 0,salon-de-provence,3.186858316221766,e-2008,136ch
13499,essence,manuelle,blanc,berline,particulier,non,45176.0,5.0,102.0,5,5,4.055,"1,745 m","1,43 m",1102.0,265.0,crit'air niveau 1,compiègne,3.586584531143053,1.2,puretech
19499,gpl,manuelle,gris,suv,loueur,oui,20900.0,5.0,101.0,5,5,4.341,"1,804 m",,1214.0,478.0,crit'air niveau 1,villers-cotterêts,1.7412731006160165,1.0,eco-g
13799,essence,manuelle,blanc,berline,particulier,non,19271.0,4.0,65.0,5,4,3.615,"1,646 m","1,541 m",900.0,219.0,crit'air niveau 1,thonon-les-bains,2.3819301848049284,1.0,sce
19499,essence,manuelle,rouge,suv,loueur,non,18708.0,5.0,91.0,5,5,4.227,"1,797 m","1,576 m",1107.0,536.0,crit'air niveau 1,fouquières-lès-béthune,1.5222450376454484,1.0,tce
17699,essence,manuelle,noir,berline,société,non,32464.0,6.0,115.0,5,5,4.258,"1,79 m","1,492 m",1165.0,380.0,crit'air niveau 1,rezé,5.812457221081451,1.0,tsi
14799,gpl,manuelle,bleu,berline,particulier,non,36615.0,5.0,100.0,5,5,4.053,"1,798 m","1,44 m",1084.0,318.0,crit'air niveau 1,beauvais,2.414784394250513,1.0,tce
23299,electrique,automatique,bi-ton,suv,loueur,non,57432.0,4.0,218.0,5,5,4.199,"1,86 m","1,501 m",1636.0,440.0,crit'air niveau 0,laon,3.3401779603011637,e-tech,electric
33499,hybride rechargeable,automatique,gris,suv,,oui,5.0,5.0,98.0,5,5,4.545,"1,805 m","1,68 m",1900.0,626.0,crit'air niveau 1,clermont-ferrand,0.8706365503080082,2.4,mivec
15499,essence,manuelle,blanc,berline,loueur,oui,29327.0,5.0,91.0,5,5,4.053,"1,798 m","1,44 m",1007.0,391.0,crit'air niveau 1,reims,1.4373716632443532,1.0,tce
31499,essence micro hybride,automatique,bleu,suv,loueur,non,11231.0,7.0,136.0,5,5,4.542,"1,895 m","1,641 m",1573.0,520.0,,avignon,1.1663244353182751,1.2,hybrid
20499,essence micro hybride,manuelle,gris,suv,particulier,non,18457.0,7.0,140.0,5,5,4.227,"1,797 m","1,576 m",1172.0,536.0,,terville,2.3436002737850785,1.3,tce
25480,hybride rechargeable,automatique,blanc,suv,particulier,oui,42300.0,10.0,181.0,5,5,4.5,"1,969 m","1,689 m",1760.0,460.0,crit'air niveau 1,reims,3.679671457905544,hybrid,225ch
27499,essence,automatique,rouge,suv,,non,5.0,7.0,130.0,5,5,4.304,"1,815 m","1,55 m",1205.0,434.0,crit'air niveau 1,pau,0.1697467488021903,1.2,130ch
14199,gpl,manuelle,bleu,berline,particulier,non,27470.0,5.0,101.0,5,0,4.099,"1,848 m","1,535 m",1154.0,328.0,crit'air niveau 1,fouquières-lès-béthune,4.186173853524983,1.0,eco-g
20999,hybride,automatique,blanc,berline,particulier,non,18074.0,5.0,91.0,5,5,4.053,"1,798 m","1,44 m",1163.0,301.0,crit'air niveau 1,rezé,1.0732375085557837,1.6,e-tech
20699,essence,automatique,blanc,berline,société,oui,10.0,6.0,110.0,5,5,3.996,"1,749 m","1,474 m",1090.0,300.0,crit'air niveau 1,clermont-ferrand,0.33401779603011633,1.2,puretech
11999,essence,manuelle,gris,berline,société,oui,37036.0,4.0,83.0,5,5,3.996,"1,749 m","1,474 m",980.0,300.0,crit'air niveau 1,niort,2.4175222450376452,1.2,puretech
18999,essence bioéthanol,manuelle,gris,suv,particulier,oui,25247.0,6.0,125.0,5,5,4.186,"1,805 m","1,537 m",1205.0,456.0,,nanterre,2.0123203285420943,1.0,flexifuel
18799,essence bioéthanol,manuelle,gris,suv,particulier,oui,43315.0,6.0,125.0,5,5,4.186,"1,805 m","1,537 m",1205.0,456.0,,vitry-sur-seine,2.3408624229979464,1.0,flexifuel
29499,diesel,automatique,,suv,société,non,7852.0,7.0,131.0,5,5,4.447,"1,906 m","1,624 m",1429.0,520.0,crit'air niveau 2,serres-castet,1.4236824093086926,1.5,bluehdi
20999,essence micro hybride,automatique,blanc,suv,loueur,oui,41865.0,7.0,140.0,5,5,4.568,"1,82 m","1,571 m",1261.0,513.0,,saint-victoret,2.8035592060232717,1.3,tce
24179,gpl,manuelle,gris,suv,,non,774.0,5.0,101.0,5,5,4.343,"1,921 m","1,616 m",1195.0,594.0,crit'air niveau 1,valence,0.33127994524298426,1.0,eco-g
17499,gpl,manuelle,orange,suv,loueur,non,37148.0,5.0,101.0,5,5,4.341,"1,804 m",,1214.0,445.0,crit'air niveau 1,sézanne,3.1211498973305956,1.0,eco-g
17490,electrique,automatique,blanc,berline,société,non,28096.0,4.0,109.0,5,5,4.087,"1,787 m","1,562 m",1427.0,338.0,crit'air niveau 0,dizy,2.9979466119096507,e-tech,evolution
25499,electrique,automatique,bi-ton,suv,,non,21774.0,4.0,218.0,5,5,4.199,"1,86 m","1,501 m",1636.0,440.0,crit'air niveau 0,salon-de-provence,2.9295003422313486,e-tech,electric
12999,essence,manuelle,blanc,berline,particulier,non,16172.0,4.0,65.0,5,4,3.615,"1,646 m","1,541 m",900.0,219.0,crit'air niveau 1,coquelles,2.6091718001368926,1.0,sce
28999,hybride rechargeable,automatique,gris,suv,loueur,non,40506.0,5.0,98.0,5,5,4.545,"1,805 m","1,68 m",1900.0,626.0,crit'air niveau 1,hénin-beaumont,2.4175222450376452,2.4,mivec
15499,diesel,manuelle,rouge,berline,société,non,55209.0,5.0,102.0,5,5,4.055,"1,745 m","1,43 m",1090.0,265.0,crit'air niveau 2,saint-cyr-sur-loire,2.784394250513347,1.5,bluehdi
16890,diesel,manuelle,blanc,,particulier,non,55218.0,7.0,0.0,5,0,,,,,,crit'air niveau 2,bourg-en-bresse,4.58590006844627,peugeot,308
15900,electrique,automatique,bleu,berline,particulier,non,44613.0,4.0,109.0,5,5,4.087,"1,787 m","1,562 m",1427.0,338.0,crit'air niveau 0,valence,3.4168377823408624,e-tech,evolution
10499,essence,manuelle,jaune,berline,loueur,non,31911.0,4.0,83.0,5,5,3.996,"1,749 m","1,474 m",980.0,300.0,crit'air niveau 1,poitiers,2.915811088295688,1.2,puretech
22999,hybride,automatique,bi-ton,suv,loueur,non,31345.0,5.0,91.0,5,5,4.227,"1,797 m","1,576 m",1386.0,440.0,crit'air niveau 1,magenta,1.9219712525667352,1.6,e-tech
20699,essence,automatique,blanc,berline,société,oui,10.0,6.0,110.0,5,5,3.996,"1,749 m","1,474 m",1090.0,300.0,crit'air niveau 1,clermont-ferrand,0.33401779603011633,1.2,puretech
14999,gpl,manuelle,gris,berline,particulier,non,30703.0,5.0,101.0,5,5,4.099,"1,848 m","1,535 m",1079.0,328.0,crit'air niveau 1,reims,3.4086242299794662,1.0,eco-g
52900,electrique,automatique,gris,suv,,non,13459.0,7.0,190.0,5,7,4.687,"1,834 m","1,612 m",2030.0,495.0,crit'air niveau 0,saint-memmie,0.917180013689254,250+,190ch
14616,essence,manuelle,blanc,suv,particulier,non,35435.0,5.0,102.0,5,5,4.3,"1,77 m","1,55 m",1192.0,405.0,crit'air niveau 1,grenoble,4.175222450376454,1.2,puretech
22299,diesel,automatique,gris,suv,particulier,non,43325.0,7.0,131.0,5,5,4.3,"1,77 m","1,55 m",1235.0,405.0,crit'air niveau 2,avignon,3.375770020533881,1.5,bluehdi
36990,hybride,automatique,bi-ton,suv,,non,8000.0,5.0,98.0,5,5,4.362,"1,832 m","1,564 m",1430.0,388.0,crit'air niveau 1,dagneux,0.4380561259411362,1.8,hybride
18799,essence micro hybride,automatique,jaune,berline,loueur,non,7925.0,5.0,100.0,5,5,4.055,"1,765 m","1,43 m",1175.0,352.0,,chambray-lès-tours,1.45927446954141,1.2,hybrid
16999,essence,manuelle,noir,berline,société,non,10952.0,5.0,91.0,5,5,4.053,"1,798 m","1,44 m",1007.0,391.0,crit'air niveau 1,civray,1.5578370978781657,1.0,tce
17499,essence,manuelle,bleu,suv,loueur,non,15000.0,5.0,91.0,5,5,4.227,"1,797 m","1,576 m",1107.0,536.0,crit'air niveau 1,hazebrouck,1.7467488021902806,1.0,tce
75900,hybride rechargeable,automatique,noir,4x4 tout terrain,société,oui,10000.0,11.0,269.0,5,5,4.597,"2,069 m","1,727 m",2093.0,1179.0,crit'air niveau 1,paris,0.09856262833675565,p270e,phev
