prix_ttc_eur,energie,boite_de_vitesses,couleur,type_vehicule,provenance,premiere_main,kilometrage,puissance_fiscale,puissance_reelle,portes,places,longueur,largeur,hauteur,poids,volume_coffre,air_quality_icon,ville,age_ans,marque,modele
18999,essence micro hybride,automatique,gris,suv,loueur,non,31139.0,7.0,140.0,5,5,4.568,1.821,1.571,1261.0,513.0,,saint-alban-leysse,2.751540041067762,1.3,tce
50999,hybride rechargeable,automatique,gris,break,loueur,oui,10332.0,11.0,204.0,5,5,4.793,1.82,1.454,2065.0,315.0,crit'air niveau 1,vert-saint-denis,0.8432580424366872,300,e
24799,hybride,automatique,bleu,suv,loueur,non,17249.0,5.0,94.0,5,5,4.568,1.821,1.571,1360.0,480.0,crit'air niveau 1,magenta,3.381245722108145,1.6,e-tech
12490,essence,manuelle,blanc,berline,particulier,non,34060.0,4.0,83.0,5,5,3.996,1.749,1.474,980.0,300.0,crit'air niveau 1,dizy,2.3627652292950034,1.2,puretech
15999,gpl,manuelle,blanc,suv,particulier,oui,44121.0,5.0,101.0,5,5,4.341,1.804,,1214.0,1478.0,crit'air niveau 1,maizières-la-grande-paroisse,3.468856947296372,1.0,eco-g
14499,diesel,automatique,blanc,berline,société,non,101077.0,6.0,115.0,5,5,4.359,1.814,1.447,1465.0,384.0,crit'air niveau 2,rezé,5.278576317590692,1.5,blue
13999,essence,manuelle,jaune,berline,société,non,20730.0,4.0,75.0,5,5,4.055,1.745,1.43,980.0,265.0,crit'air niveau 1,saint-cyr-sur-loire,2.379192334017796,1.2,puretech
13499,gpl,manuelle,blanc,berline,loueur,non,88149.0,5.0,101.0,5,5,4.099,1.848,1.535,1154.0,328.0,crit'air niveau 1,metz,3.871321013004791,1.0,eco-g
32999,essence micro hybride,automatique,gris,suv,loueur,non,46133.0,9.0,163.0,5,5,4.425,1.863,1.652,1613.0,452.0,,chennevières sur marne,1.538672142368241,b3,163ch
26999,diesel,automatique,noir,break,loueur,non,21381.0,7.0,131.0,5,5,4.778,1.907,1.42,1513.0,530.0,crit'air niveau 2,charmeil,1.5331964407939767,bluehdi,130ch
14999,gpl,manuelle,gris,berline,particulier,non,30703.0,5.0,101.0,5,5,4.099,1.848,1.535,1079.0,328.0,crit'air niveau 1,reims,3.4113620807665983,1.0,eco-g
20578,essence micro hybride,automatique,noir,suv,société,non,26129.0,7.0,140.0,5,5,4.568,1.82,1.571,1261.0,513.0,,salaise sur sanne,2.0561259411362083,1.3,tce
7560,essence,manuelle,bi-ton,berline,loueur,non,130865.0,4.0,82.0,5,5,3.996,1.749,1.474,980.0,300.0,crit'air niveau 1,charleville-mézières,6.04517453798768,puretech,82ch
23499,hybride,automatique,gris,berline,particulier,non,1241.0,5.0,91.0,5,5,4.053,1.798,1.44,1163.0,301.0,crit'air niveau 1,pertuis,0.34770704996577684,1.6,e-tech
26490,hybride rechargeable,automatique,noir,suv,société,non,25625.0,10.0,180.0,5,5,4.805,1.865,1.485,1722.0,485.0,crit'air niveau 1,charleville-mézières,2.5872689938398357,hybride,rechargeable
29999,essence micro hybride,automatique,gris,suv,,oui,5.0,7.0,136.0,5,5,4.304,1.815,1.55,1297.0,434.0,,salon-de-provence,0.08487337440109514,1.2,hybrid
34799,diesel,manuelle,noir,break,loueur,non,61758.0,8.0,150.0,5,8,5.48,1.956,1.974,2104.0,1800.0,crit'air niveau 2,hazebrouck,2.513347022587269,l2,2.0
52900,electrique,automatique,gris,suv,,non,13459.0,7.0,190.0,5,7,4.687,1.834,1.612,2030.0,495.0,crit'air niveau 0,saint-memmie,0.919917864476386,250+,190ch
75900,hybride rechargeable,automatique,noir,4x4 tout terrain,société,oui,10000.0,11.0,269.0,5,5,4.597,2.069,1.727,2093.0,1179.0,crit'air niveau 1,paris,0.10130047912388775,p270e,phev
36990,hybride,automatique,bi-ton,suv,,non,8000.0,5.0,98.0,5,5,4.362,1.832,1.564,1430.0,388.0,crit'air niveau 1,dagneux,0.4407939767282683,1.8,hybride
10780,essence,manuelle,gris,berline,particulier,non,45136.0,4.0,75.0,5,5,4.055,1.765,1.43,980.0,265.0,crit'air niveau 1,seynod,4.427104722792608,1.2,puretech
12799,diesel,manuelle,gris,suv,particulier,non,89524.0,5.0,90.0,5,5,4.121,1.778,1.573,1248.0,455.0,crit'air niveau 2,mexy,6.362765229295003,1.5,dci
35299,hybride rechargeable,automatique,rouge,suv,,non,10.0,5.0,98.0,5,5,4.545,1.805,1.68,1900.0,626.0,crit'air niveau 1,saint-victoret,0.8815879534565366,2.4,mivec
20799,essence,automatique,noir,suv,particulier,non,78818.0,10.0,181.0,5,5,4.57,1.895,1.625,1425.0,555.0,crit'air niveau 1,poitiers,6.579055441478439,puretech,180ch
12215,essence,manuelle,gris,suv,loueur,non,125414.0,5.0,102.0,5,5,4.3,1.77,1.55,1192.0,405.0,crit'air niveau 1,chambéry,3.512662559890486,1.2,puretech
27990,electrique,automatique,bi-ton,berline,,oui,6000.0,5.0,204.0,5,5,4.287,1.836,1.516,1675.0,350.0,crit'air niveau 0,pontarlier,0.813141683778234,ev,204ch
28987,diesel,automatique,bleu,suv,importation,non,27577.0,7.0,131.0,5,7,4.641,1.906,1.646,1536.0,780.0,crit'air niveau 2,arnas,1.4373716632443532,1.5,bluehdi
11999,electrique,automatique,gris,berline,loueur,non,61628.0,6.0,150.0,5,5,4.49,1.788,1.53,1565.0,435.0,crit'air niveau 0,reims,3.8329911019849416,150ch,40kwh
22499,essence,manuelle,gris,berline,particulier,non,1832.0,5.0,91.0,5,5,4.053,1.798,1.44,1007.0,391.0,crit'air niveau 1,troyes,0.6187542778918549,1.0,tce
18299,essence,manuelle,gris,berline,particulier,non,15158.0,5.0,91.0,5,5,4.053,1.798,1.44,1007.0,391.0,crit'air niveau 1,dunkerque,0.6954140999315537,1.0,tce
17999,essence micro hybride,automatique,orange,suv,particulier,non,26432.0,7.0,140.0,5,5,4.227,1.797,1.576,1267.0,536.0,,loison-sous-lens,4.511978097193703,1.3,tce
8890,electrique,automatique,bleu,suv,particulier,non,36857.0,2.0,45.0,5,4,3.734,1.579,1.513,970.0,290.0,crit'air niveau 0,davezieux,4.101300479123887,45ch,confort
37990,hybride,automatique,blanc,suv,,oui,8000.0,5.0,98.0,5,5,4.362,1.832,1.564,1430.0,388.0,crit'air niveau 1,asnières-sur-seine,0.1806981519507187,1.8,hybride
15288,diesel,manuelle,gris,berline,,non,39548.0,5.0,102.0,5,5,4.055,1.745,1.43,1090.0,265.0,crit'air niveau 2,bourgoin-jallieu,2.113620807665982,1.5,bluehdi
40000,diesel,manuelle,blanc,utilitaire,,non,15000.0,7.0,150.0,4,3,5.932,2.175,2.638,2181.0,,crit'air niveau 2,compiègne,0.8459958932238193,315,cdi
